Theme,Count,Documents
dashboard: architecture,32,DASHBOARD_DESIGN_IMPROVEMENTS.md; DIRECTORY_ARCHITECTURE.md; NAVIGATION_REDESIGN_PLAN.md; QA_VISUALIZATION_DESIGN.md; STREAMING_MOSAIC_WORKFLOW.md...
dashboard: backend,22,API_ENDPOINTS_IMPLEMENTED.md; API_RESTART_GUIDE.md; API_TESTING_COMPLETE.md; API_TESTING_SUMMARY.md; API_TEST_COMMANDS.md...
dashboard: control,4,control-panel-cheatsheet.md; control-panel-quickstart.md; control-panel.md; streaming-control.md
dashboard: frontend,89,API_RESTART_GUIDE.md; AUTOMATION_GUIDE.md; AUTOMATION_SETUP_QUICKSTART.md; BUILD_60MIN_MOSAIC_0834.md; CASA6_ENVIRONMENT_GUIDE.md...
dashboard: monitoring,8,CASA_LOG_DAEMON_MONITORING.md; POINTING_MONITORING_REVIEW.md; POINTING_MONITOR_DEPLOYMENT_TEST.md; POINTING_VISUALIZATION_TEST.md; dashboard_backend_api.md...
dashboard: visualization,40,CARTA_INTEGRATION_ASSESSMENT.md; CARTA_INTEGRATION_TODO.md; CARTA_PHASE1_COMPLETION.md; CARTA_PHASE1_TODO.md; CARTA_PHASE2_TODO.md...
deployment,18,DOCKER_CONFIG_UPDATE.md; DOCKER_CONFIG_VERIFICATION.md; DOCKER_TESTING_GUIDE.md; POINTING_MONITOR_DEPLOYMENT_TEST.md; dashboard_deployment.md...
development,103,ANTICIPATORY_DASHBOARD_IMPLEMENTATION.md; CARTA_PHASE1_COMPLETION.md; CARTA_PHASE1_TODO.md; CARTA_PHASE2_TODO.md; CURRENT_STATUS.md...
documentation,67,API_RESTART_GUIDE.md; AUTOMATION_GUIDE.md; CASA6_ENVIRONMENT_GUIDE.md; CATALOG_CROSS_MATCHING_GUIDE.md; CATALOG_DOCUMENTATION_INDEX.md...
environment,20,AUTOMATION_SETUP_QUICKSTART.md; CASA6_ENVIRONMENT_GUIDE.md; CRITICAL_PYTHON_ENVIRONMENT.md; DEVELOPMENT_SETUP.md; ENVIRONMENT_ANALYSIS_REPORT.md...
miscellaneous,126,ADDITIONAL_AUTOMATED_CHECKS.md; AGENT_INFORMATION_RELIABILITY.md; APPLYING_DEPENDENCY_ENFORCEMENT.md; ARCHIVAL_NOTE.md; AUTOMATED_GOTCHA_PREVENTION.md...
operations,32,AGENT_SAFEGUARDS_COMPLETE.md; CODE_QUALITY_PROGRESS_REPORT.md; DEEP_DIVE_ISSUES_REPORT.md; ENVIRONMENT_ANALYSIS_REPORT.md; FINAL_EXECUTION_REPORT.md...
performance,11,2025-11-06-model-py-optimization.md; OPTIMIZATION_API.md; PARAMETER_OPTIMIZATION_GUIDE.md; PROFILING_GUIDE.md; TEST_FIXTURE_OPTIMIZATION.md...
pipeline: calibration,12,CALIBRATION_DETAILED_PROCEDURE.md; CALIBRATION_IMPROVEMENTS_2024.md; CURRENT_CALIBRATION_PROCEDURE.md; FIND_CALIBRATOR_TRANSIT_DATA.md; calibrate-apply.md...
pipeline: crossmatching,29,CATALOG_CROSS_MATCHING_GUIDE.md; CATALOG_DOCUMENTATION_INDEX.md; CATALOG_USAGE_GUIDE.md; EXISTING_CROSS_MATCHING_TOOLS.md; EXTERNAL_CROSS_MATCHING_TOOLS_SURVEY.md...
pipeline: ese,26,MOFFAT_ROTATION_ESE_SCIENCE.md; SYNTHETIC_DATA_REPRESENTATIVENESS.md; auto-error-detection-non-interactive.md; calibrator-detection-investigation.md; command-chains-with-error-detection.md...
pipeline: flagging,2,TEST_FLAG_SUBCOMMAND.md; aoflagger.md
pipeline: imaging,22,CASA6_ENVIRONMENT_GUIDE.md; CASA_LOG_DAEMON_FIXES.md; CASA_LOG_DAEMON_MONITORING.md; CASA_LOG_DAEMON_PROTECTION_SUMMARY.md; CASA_MPI_EVALUATION.md...
pipeline: masking,5,MASKED_IMAGING_ANALYSIS.md; MASKING_EFFICIENCY_ANALYSIS.md; MASKING_IMPLEMENTATION_COMPLETE.md; MASKING_TOGGLE_IMPLEMENTATION_PLAN.md; masking-guide.md
pipeline: mosaicing,17,BUILD_60MIN_MOSAIC_0834.md; CRITICAL_MOSAIC_REGRIDDING_ISSUE.md; LINEARMOSAIC_PARAMETERS.md; LINEAR_INTEGRATION.md; LINEAR_SETUP_QUICKSTART.md...
pipeline: photometry,8,FORCED_PHOTOMETRY_ENHANCEMENTS.md; FORCED_PHOTOMETRY_TESTS.md; VAST_FORCED_PHOTOMETRY_ANALYSIS.md; photometry_automation_assessment.md; photometry_automation_implementation_review.md...
pipeline: qa,25,CODE_QUALITY_COMPLETION_SUMMARY.md; CODE_QUALITY_FINAL_SUMMARY.md; CODE_QUALITY_IMPROVEMENTS_2025-01.md; CODE_QUALITY_IMPROVEMENTS_GUIDE.md; CODE_QUALITY_LOW_PRIORITY_COMPLETED.md...
pipeline: streaming,13,STREAMING_MOSAIC_WORKFLOW.md; STREAMING_TESTS_COMPLETION.md; streaming-api.md; streaming-architecture.md; streaming-control.md...
security,9,AGENT_SAFEGUARDS_COMPLETE.md; MISSING_PORT_SAFEGUARDS.md; additional_safeguards_needed_2025-11-10.md; codeql_setup_and_usage.md; fixing_codeql_security_issues.md...
testing,104,API_TESTING_COMPLETE.md; API_TESTING_SUMMARY.md; API_TEST_COMMANDS.md; AUTOMATED_TESTING_STRATEGY.md; CARTA_INTEGRATION_ASSESSMENT.md...
tools,26,ANALYSIS_WORKSPACE_TOOLS.md; CASA_MPI_EVALUATION.md; EXISTING_CROSS_MATCHING_TOOLS.md; EXTERNAL_CROSS_MATCHING_TOOLS_SURVEY.md; EXTERNAL_TOOLS_EVALUATION.md...
troubleshooting,56,BUGFIXES_SEMANTIC_HTML.md; CASA_LOG_DAEMON_FIXES.md; CRITICAL_MOSAIC_REGRIDDING_ISSUE.md; DEEP_DIVE_ISSUES_REPORT.md; DOCUMENTATION_FIXES_APPLIED.md...
